time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-29T01:03:41.906Z,19.1519,-68.2492,35,3,ml,15,183,0.646,0.31,us,us6000ngkd,2024-07-29T01:31:25.040Z,"65 km NNE of Punta Cana, Dominican Republic",earthquake,3.83,2.013,0.069,28,reviewed,us,us
2024-07-29T00:59:45.955Z,-24.2498,178.7193,658.42,4.7,mb,47,84,5.826,0.98,us,us6000ngkc,2024-07-29T01:15:32.040Z,"south of the Fiji Islands",earthquake,14.15,11.589,0.089,38,reviewed,us,us
2024-07-28T23:58:43.400Z,38.1559982299805,-121.943496704102,22.1900005340576,2.68,md,70,63,0.138,0.33,nc,nc75040627,2024-07-29T01:43:30.847Z,"12 km SSE of Suisun City, CA",earthquake,0.47,0.389999986,0.12,67,automatic,nc,nc
2024-07-28T22:43:52.656Z,-30.1244,-177.2449,6.987,5,mb,55,127,1.041,0.55,us,us6000ngjw,2024-07-28T23:01:24.040Z,"Kermadec Islands, New Zealand",earthquake,7.09,4.802,0.081,49,reviewed,us,us
2024-07-28T22:13:08.352Z,-37.0763,52.289,10,5.4,mww,71,41,9.351,0.79,us,us6000ngji,2024-07-29T00:16:55.748Z,"South Indian Ocean",earthquake,9.44,1.835,0.08,15,reviewed,us,us
2024-07-28T21:45:05.229Z,60.094,-152.5325,97.4,2.5,ml,,,,0.34,ak,ak0249nnmn1z,2024-07-28T21:55:12.040Z,"47 km WNW of Happy Valley, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-07-28T21:00:13.200Z,38.1544990539551,-121.922500610352,22.25,3.32,ml,84,80,0.1286,0.24,nc,nc75040602,2024-07-29T01:40:37.923Z,"13 km SSE of Suisun City, CA",earthquake,0.39,0.310000002,0.279,38,automatic,nc,nc
2024-07-28T18:50:18.947Z,44.2355,-69.8623,8.075,2.8,mb_lg,26,123,0.359,0.27,us,us6000ngj3,2024-07-29T01:39:17.142Z,"6 km W of Gardiner, Maine",earthquake,3.72,7.395,0.069,57,reviewed,us,us
2024-07-28T18:02:24.011Z,55.7223,-158.3964,32,2.6,ml,,,,0.5,ak,ak0249nll5vl,2024-07-28T18:08:46.040Z,"51 km ESE of Perryville, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-07-28T17:07:04.175Z,-7.4895,127.8462,163.63,4.6,mb,42,52,3.589,0.71,us,us6000ngij,2024-07-28T17:22:47.040Z,"147 km NE of Lospalos, Timor Leste",earthquake,8.26,7.554,0.085,41,reviewed,us,us
2024-07-28T14:53:40.130Z,51.846,178.0627,10,2.6,ml,9,305,0.296,0.35,us,us6000ngit,2024-07-28T19:42:21.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,3.27,1.996,0.128,8,reviewed,us,us
2024-07-28T14:36:23.300Z,19.3880004882812,-155.238830566406,1.24000000953674,2.56,ml,42,50,0.01204,0.270000011,hv,hv74370976,2024-07-28T14:39:01.580Z,"6 km S of Volcano, Hawaii",earthquake,0.25,0.150000006,0.4,27,automatic,hv,hv
2024-07-28T14:25:41.664Z,14.8875,146.891,10,4.9,mb,23,155,1.121,0.69,us,us6000ngi9,2024-07-28T14:48:41.040Z,"127 km ESE of Saipan, Northern Mariana Islands",earthquake,8.08,1.883,0.135,22,reviewed,us,us
2024-07-28T14:19:43.272Z,14.8374,146.7729,10,5.2,mb,48,121,1.027,0.99,us,us6000ngi6,2024-07-28T20:29:46.961Z,"117 km ESE of Saipan, Northern Mariana Islands",earthquake,8.71,1.902,0.031,350,reviewed,us,us
